"pclass","survived","sex","age","sibsp","parch","fare","embarked","title","solo"
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",29.7032106082678,0,0,15.1000004,"Southampton","Mr",1
"3rd",1,"female",24.4254094619076,0,0,7.77920008,"Queenstown","Miss",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",27.9340862881182,0,0,8.66250038,"Southampton","Mr",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",1,"female",23.752512963868,0,0,7.73330021,"Queenstown","Miss",1
"1st",1,"female",38.9567837398649,1,0,133.649994,"Southampton","Mrs",0
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",25.0190534033498,1,0,6.4375,"Cherbourg","Mr",0
"3rd",0,"male",29.8800453860123,0,0,6.4375,"Cherbourg","Mr",1
"3rd",0,"male",28.0183664201989,0,0,7.2249999,"Cherbourg","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",29.3044964842401,1,0,16.1000004,"Southampton","Mr",0
"3rd",1,"female",29.6203012568429,1,0,16.1000004,"Southampton","Mrs",0
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",27.8200617157007,0,0,7.22919989,"Cherbourg","Mr",1
"3rd",0,"male",27.8200617157007,0,0,7.22919989,"Cherbourg","Mr",1
"1st",0,"male",41.0031910993257,0,0,0,"Southampton","Mr",1
"3rd",0,"male",6.29388252435225,1,1,14.5,"Southampton","Master",0
"3rd",0,"male",27.9722813323289,0,0,9.5,"Southampton","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",28.8559430107687,0,0,7.55000019,"Southampton","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",27.9362196214515,0,0,8.71249962,"Southampton","Mr",1
"3rd",0,"male",28.8559430107687,0,0,7.55000019,"Southampton","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",28.9651496552207,0,0,7.25,"Southampton","Mr",1
"3rd",0,"male",28.0183664201989,0,0,7.2249999,"Cherbourg","Mr",1
"3rd",0,"male",27.2259889783966,0,0,14.4582996,"Cherbourg","Mr",1
"3rd",0,"female",18.3395167818043,1,0,14.4541998,"Cherbourg","Miss",0
"1st",1,"female",37.4041795389921,1,0,89.1042023,"Cherbourg","Mrs",0
"1st",0,"male",41.6501886483603,0,0,42.4000015,"Southampton","Mr",1
"1st",1,"male",43.816982574225,0,0,30,"Southampton","Mr",1
"1st",0,"male",41.301663686052,0,0,51.8624992,"Southampton","Mr",1
"1st",0,"male",43.129358522762,0,0,25.9249992,"Southampton","Mr",1
"1st",0,"male",42.6046664512841,0,0,30.6958008,"Cherbourg","Mr",1
"1st",1,"female",38.6090553561246,1,0,51.8624992,"Southampton","Mrs",0
"1st",0,"male",43.5609765880706,0,0,26.5499992,"Southampton","Mr",1
"1st",0,"male",39.9060938451675,0,0,27.7208004,"Cherbourg","Mr",1
"1st",1,"male",41.4274905845619,0,0,29.7000008,"Cherbourg","Mr",1
"1st",1,"female",39.0075139217147,1,0,82.1707993,"Cherbourg","Mrs",0
"1st",1,"male",38.8835505179705,0,0,25.7416992,"Cherbourg","Mr",1
"1st",0,"male",41.0031910993257,0,0,0,"Southampton","Mr",1
"1st",1,"male",41.9557954931618,0,0,39.5999985,"Southampton","Mr",1
"1st",0,"male",36.6901926898406,0,0,227.524994,"Cherbourg","Mr",1
"1st",0,"male",41.8567248611642,0,0,50,"Southampton","Mr",1
"1st",1,"male",43.5190544323016,0,0,30.5,"Southampton","Mr",1
"1st",1,"male",43.1023547551699,0,0,26,"Southampton","Mr",1
"1st",0,"male",43.1023547551699,0,0,26,"Southampton","Mr",1
"1st",1,"female",36.0983220328427,1,0,146.520798,"Cherbourg","Mrs",0
"1st",0,"male",39.9060938451675,0,0,27.7208004,"Cherbourg","Mr",1
"1st",1,"female",38.002794851177,1,0,52,"Southampton","Mrs",0
"1st",1,"female",47.9002060479281,0,0,79.1999969,"Cherbourg","Mrs",1
"1st",0,"male",43.2818230184291,0,0,35,"Southampton","Mr",1
"1st",1,"male",42.5455736746144,0,0,35.5,"Southampton","Mr",1
"2nd",0,"male",34.5841832337664,0,0,0,"Southampton","Mr",1
"1st",1,"male",43.5609765880706,0,0,26.5499992,"Southampton","Mr",1
"2nd",0,"female",34.1967589457932,0,0,21,"Southampton","Mrs",1
"2nd",0,"male",34.5841832337664,0,0,0,"Southampton","Mr",1
"1st",0,"male",41.1658790833149,0,0,39.5999985,"Cherbourg","Dr",1
"2nd",0,"male",34.5841832337664,0,0,0,"Southampton","Mr",1
"1st",0,"male",43.7357202570946,0,0,31,"Southampton","Mr",1
"2nd",1,"female",29.2487825479384,0,0,12.3500004,"Queenstown","Miss",1
"2nd",0,"male",34.5841832337664,0,0,0,"Southampton","Mr",1
"2nd",0,"male",41.2514856794482,0,0,10.7082996,"Queenstown","Mr",1
"2nd",1,"female",25.9756688559142,0,0,33,"Southampton","Miss",1
"2nd",0,"male",30.6128372833095,0,0,15.0458002,"Cherbourg","Mr",1
"2nd",0,"male",30.5617082723008,0,0,15.5791998,"Cherbourg","Mr",1
"2nd",1,"male",30.0581553300232,0,0,13.8625002,"Cherbourg","Mr",1
"2nd",0,"male",34.5841832337664,0,0,0,"Southampton","Mr",1
"2nd",0,"male",30.6128372833095,0,0,15.0500002,"Cherbourg","Mr",1
"2nd",0,"male",34.5841832337664,0,0,0,"Southampton","Mr",1
"2nd",0,"male",32.0703929961934,0,0,12.875,"Southampton","Mr",1
"2nd",1,"male",32.04808919836,0,0,13,"Southampton","Mr",1
"1st",1,"female",47.1707099797878,0,0,27.7208004,"Cherbourg","Mrs",1
"3rd",0,"male",18.5165049421003,0,0,7.22919989,"Cherbourg","Master",1
"3rd",0,"male",28.0183664201989,0,0,7.2249999,"Cherbourg","Mr",1
"3rd",0,"female",28.9864571490975,0,2,15.2458,"Cherbourg","Mrs",0
"3rd",0,"female",13.8306194284187,0,2,7.75,"Queenstown","Miss",0
"1st",1,"female",42.4098218645116,0,1,55,"Southampton","Mrs",0
"3rd",0,"male",25.1071956930999,1,0,14.4582996,"Cherbourg","Mr",0
"3rd",0,"female",23.8442337712381,1,0,14.4582996,"Cherbourg","Mrs",0
"1st",0,"male",41.0031910993257,0,0,0,"Southampton","Mr",1
"1st",0,"male",40.7875192121343,0,0,52,"Southampton","Mr",1
"3rd",0,"male",29.3044964842401,1,0,16.1000004,"Southampton","Mr",0
"3rd",1,"female",29.6203012568429,1,0,16.1000004,"Southampton","Mrs",0
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",27.8200617157007,0,0,7.22919989,"Cherbourg","Mr",1
"3rd",0,"male",28.0183664201989,0,0,7.2249999,"Cherbourg","Mr",1
"3rd",0,"male",28.0183664201989,0,0,7.2249999,"Cherbourg","Mr",1
"3rd",1,"male",29.1772649007215,0,0,7.05000019,"Southampton","Mr",1
"3rd",0,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",30.1199929314921,0,0,6.94999981,"Queenstown","Mr",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",1,"male",30.8215052904479,0,0,56.4958,"Southampton","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"1st",0,"male",43.5609765880706,0,0,26.5499992,"Southampton","Mr",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",28.9651496552207,0,0,7.25,"Southampton","Mr",1
"3rd",0,"male",29.4570541915035,0,0,14.5,"Southampton","Mr",1
"3rd",0,"male",28.4003366825859,0,0,7.89580011,"Cherbourg","Mr",1
"3rd",1,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",28.5200387655355,1,0,19.9666996,"Southampton","Mr",0
"3rd",0,"male",28.5200387655355,1,0,19.9666996,"Southampton","Mr",0
"3rd",0,"female",23.9634073543157,0,0,7.55000019,"Southampton","Miss",1
"3rd",0,"male",30.0729083319724,0,0,6.85830021,"Queenstown","Mr",1
"3rd",1,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",1,"male",30.8215052904479,0,0,56.4958,"Southampton","Mr",1
"3rd",0,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",1,"female",24.530104581074,0,0,8.05000019,"Southampton","Miss",1
"3rd",1,"male",28.2938857870922,0,0,7.88749981,"Southampton","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",29.1772649007215,0,0,7.05000019,"Southampton","Mr",1
"3rd",1,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",1,"male",28.1141889382902,0,0,8.11250019,"Southampton","Mr",1
"3rd",0,"male",6.41628590598052,1,2,23.4500008,"Southampton","Master",0
"3rd",0,"female",7.93791932029874,1,2,23.4500008,"Southampton","Miss",0
"3rd",0,"male",29.4247105888824,1,2,23.4500008,"Southampton","Mr",0
"3rd",0,"female",31.5152287621993,1,2,23.4500008,"Southampton","Mrs",0
"3rd",0,"male",27.8200617157007,0,0,7.22919989,"Cherbourg","Mr",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",28.9651496552207,0,0,7.25,"Southampton","Mr",1
"3rd",1,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",1,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",1,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",25.1100290264332,1,0,14.4541998,"Cherbourg","Mr",0
"3rd",0,"female",23.8412337712381,1,0,14.4541998,"Cherbourg","Mrs",0
"3rd",0,"male",28.7178065857492,1,0,7.75,"Queenstown","Mr",0
"3rd",0,"male",28.7178065857492,1,0,7.75,"Queenstown","Mr",0
"3rd",0,"male",30.2923353037885,0,0,7.73750019,"Queenstown","Mr",1
"3rd",0,"male",28.4003366825859,0,0,7.89580011,"Cherbourg","Mr",1
"3rd",0,"male",28.0183664201989,0,0,7.2249999,"Cherbourg","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",1,"male",30.8215052904479,0,0,56.4958,"Southampton","Mr",1
"3rd",0,"male",30.8215052904479,0,0,56.4958,"Southampton","Mr",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",6.15691962313779,3,1,25.4666996,"Southampton","Master",0
"3rd",0,"female",8.0309473561562,3,1,25.4666996,"Southampton","Miss",0
"3rd",0,"female",8.0309473561562,3,1,25.4666996,"Southampton","Miss",0
"3rd",0,"female",8.0309473561562,3,1,25.4666996,"Southampton","Miss",0
"3rd",0,"female",37.0281644488756,0,4,25.4666996,"Southampton","Mrs",0
"3rd",0,"female",19.4606296269887,1,0,15.5,"Queenstown","Miss",0
"3rd",0,"male",32.634900670086,1,0,15.5,"Queenstown","Mr",0
"3rd",0,"male",31.5756098776566,0,0,7.87919998,"Queenstown","Mr",1
"3rd",0,"male",28.8559430107687,0,0,7.55000019,"Southampton","Mr",1
"3rd",0,"male",28.2953924537588,0,0,7.87919998,"Southampton","Mr",1
"3rd",0,"male",28.3087214016618,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",28.8559430107687,0,0,7.55000019,"Southampton","Mr",1
"3rd",1,"female",24.6417870810656,0,0,7.75,"Queenstown","Miss",1
"3rd",0,"female",24.2132766463558,0,0,7.87919998,"Queenstown","Miss",1
"3rd",0,"male",32.8978730454011,0,0,7.75,"Queenstown","Mr",1
"3rd",0,"male",28.4242518878192,0,0,8.05000019,"Southampton","Mr",1
"3rd",1,"male",27.8200617157007,0,0,7.22919989,"Cherbourg","Mr",1
"3rd",1,"female",23.7862003759586,0,0,7.73750019,"Queenstown","Miss",1
"3rd",0,"male",27.8200617157007,0,0,7.22919989,"Cherbourg","Mr",1
"3rd",1,"female",33.2115415543785,0,0,7.2249999,"Cherbourg","Mrs",1
"3rd",0,"male",28.4003366825859,0,0,7.89580011,"Cherbourg","Mr",1
"1st",1,"female",29,0,0,211.337494,"Southampton","Miss",1
"1st",0,"male",71,0,0,49.5042,"Cherbourg","Mr",1
"1st",1,"female",48,1,0,39.5999985,"Cherbourg","Lady",0
"3rd",1,"female",15,0,0,8.0291996,"Queenstown","Miss",1
"3rd",0,"female",35,0,0,7.75,"Queenstown","Miss",1
"1st",1,"male",49,1,0,56.9291992,"Cherbourg","Sir",0
"3rd",0,"male",24,1,0,16.1000004,"Southampton","Mr",0
"3rd",0,"female",19,1,0,16.1000004,"Southampton","Mrs",0
"3rd",0,"male",55.5,0,0,8.05000019,"Southampton","Mr",1
"3rd",1,"male",21,0,0,7.7750001,"Southampton","Mr",1
"1st",0,"male",39,0,0,29.7000008,"Cherbourg","Mr",1
"3rd",0,"male",24,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",21,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",28,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",25,0,0,7.6500001,"Southampton","Mr",1
"3rd",1,"male",6,0,1,12.4750004,"Southampton","Master",0
"3rd",1,"female",27,0,1,12.4750004,"Southampton","Mrs",0
"1st",1,"female",23,0,1,83.1583023,"Cherbourg","Mrs",0
"3rd",0,"male",34,0,0,8.05000019,"Southampton","Mr",1
"1st",1,"female",38,0,0,227.524994,"Cherbourg","Miss",1
"3rd",1,"female",24,0,0,7.75,"Queenstown","Miss",1
"3rd",0,"male",18,0,0,7.75,"Southampton","Mr",1
"3rd",0,"male",22,0,0,7.89580011,"Southampton","Mr",1
"3rd",1,"female",15,0,0,7.2249999,"Cherbourg","Miss",1
"3rd",1,"female",1,0,2,15.7417002,"Cherbourg","Miss",0
"1st",1,"female",54,1,0,78.2667007,"Cherbourg","Miss",0
"3rd",1,"male",20,1,1,15.7417002,"Cherbourg","Mr",0
"3rd",1,"female",19,1,1,15.7417002,"Cherbourg","Mrs",0
"3rd",0,"male",33,0,0,8.05000019,"Southampton","Mr",1
"3rd",1,"male",12,1,0,11.2417002,"Cherbourg","Master",0
"3rd",1,"female",14,1,0,11.2417002,"Cherbourg","Miss",0
"3rd",0,"female",29,0,0,7.92500019,"Southampton","Miss",1
"1st",0,"female",36,0,0,31.6791992,"Cherbourg","Miss",1
"3rd",0,"male",28,0,0,8.05000019,"Southampton","Mr",1
"3rd",1,"female",18,0,0,7.7750001,"Southampton","Miss",1
"3rd",1,"female",26,0,0,7.85419989,"Southampton","Miss",1
"3rd",0,"male",21,0,0,7.85419989,"Southampton","Mr",1
"3rd",0,"male",41,0,0,7.125,"Southampton","Mr",1
"3rd",1,"male",39,0,0,7.92500019,"Southampton","Mr",1
"3rd",0,"male",21,0,0,7.80000019,"Southampton","Mr",1
"3rd",0,"male",28.5,0,0,7.22919989,"Cherbourg","Mr",1
"3rd",1,"female",22,0,0,7.75,"Southampton","Miss",1
"3rd",0,"male",61,0,0,6.23750019,"Southampton","Mr",1
"3rd",0,"male",23,0,0,9.22500038,"Southampton","Mr",1
"3rd",1,"female",22,0,0,7.7750001,"Southampton","Miss",1
"3rd",1,"male",9,0,1,3.17079997,"Southampton","Master",0
"3rd",0,"male",28,0,0,22.5249996,"Southampton","Mr",1
"3rd",0,"male",42,0,1,8.4041996,"Southampton","Mr",0
"3rd",0,"female",31,0,0,7.85419989,"Southampton","Miss",1
"3rd",0,"male",28,0,0,7.85419989,"Southampton","Mr",1
"3rd",1,"male",32,0,0,7.7750001,"Southampton","Mr",1
"3rd",0,"male",20,0,0,9.22500038,"Southampton","Mr",1
"3rd",0,"female",23,0,0,8.66250038,"Southampton","Miss",1
"3rd",0,"female",20,0,0,8.66250038,"Southampton","Miss",1
"3rd",0,"male",20,0,0,8.66250038,"Southampton","Mr",1
"3rd",0,"male",16,0,0,9.2166996,"Southampton","Mr",1
"3rd",1,"female",31,0,0,8.68330002,"Southampton","Mrs",1
"3rd",0,"male",2,3,1,21.0750008,"Southampton","Master",0
"3rd",0,"male",6,3,1,21.0750008,"Southampton","Master",0
"3rd",0,"female",3,3,1,21.0750008,"Southampton","Miss",0
"1st",0,"male",47,1,0,227.524994,"Cherbourg","Col",0
"1st",1,"male",36,0,0,26.3875008,"Southampton","Mr",1
"3rd",0,"female",8,3,1,21.0750008,"Southampton","Miss",0
"3rd",0,"female",29,0,4,21.0750008,"Southampton","Mrs",0
"3rd",0,"male",1,4,1,39.6875,"Southampton","Master",0
"3rd",0,"male",7,4,1,39.6875,"Southampton","Master",0
"3rd",0,"male",2,4,1,39.6875,"Southampton","Master",0
"3rd",0,"male",16,4,1,39.6875,"Southampton","Mr",0
"3rd",0,"male",14,4,1,39.6875,"Southampton","Mr",0
"3rd",0,"female",41,0,5,39.6875,"Southampton","Mrs",0
"3rd",0,"male",21,0,0,8.66250038,"Southampton","Mr",1
"3rd",0,"male",19,0,0,14.5,"Southampton","Mr",1
"1st",0,"male",30,0,0,27.75,"Cherbourg","Mr",1
"3rd",0,"male",32,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",0.75,1,1,13.7749996,"Southampton","Master",0
"3rd",0,"female",3,1,1,13.7749996,"Southampton","Miss",0
"3rd",0,"female",26,0,2,13.7749996,"Southampton","Mrs",0
"3rd",0,"male",21,0,0,7.92500019,"Southampton","Mr",1
"3rd",0,"male",25,0,0,7.92500019,"Southampton","Mr",1
"1st",1,"female",24,3,2,263,"Southampton","Miss",0
"3rd",0,"male",22,0,0,7.25,"Southampton","Mr",1
"3rd",1,"male",25,1,0,7.7750001,"Southampton","Mr",0
"3rd",0,"male",24,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"female",28,0,0,7.89580011,"Southampton","Miss",1
"3rd",0,"male",19,0,0,7.89580011,"Southampton","Mr",1
"1st",1,"female",28,3,2,263,"Southampton","Miss",0
"3rd",0,"male",25,1,0,7.7750001,"Southampton","Mr",0
"3rd",0,"female",18,0,0,7.7750001,"Southampton","Miss",1
"3rd",1,"male",32,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",17,0,0,8.66250038,"Southampton","Mr",1
"3rd",0,"male",24,0,0,8.66250038,"Southampton","Mr",1
"1st",1,"female",23,3,2,263,"Southampton","Miss",0
"3rd",0,"male",38,0,0,7.89580011,"Southampton","Mr",1
"3rd",0,"male",21,0,0,8.05000019,"Southampton","Mr",1
"3rd",0,"male",10,4,1,29.125,"Queenstown","Master",0
"3rd",0,"male",4,4,1,29.125,"Queenstown","Master",0
"3rd",0,"male",7,4,1,29.125,"Queenstown","Master",0
"3rd",0,"male",2,4,1,29.125,"Queenstown","Master",0
"3rd",0,"male",8,4,1,29.125,"Queenstown","Master",0
"3rd",0,"female",39,0,5,29.125,"Queenstown","Mrs",0
"3rd",0,"female",22,0,0,39.6875,"Southampton","Miss",1
"3rd",0,"male",35,0,0,7.125,"Southampton","Mr",1
"1st",0,"male",19,3,2,263,"Southampton","Mr",0
